id_firma,firma,judet,localitate,cui
1164,AUTO MARKET SRL,IASI,Iasi,19020750
1167,AVATTI INDUSTRIES SRL,IASI,Iasi,6788073
1169,AVIS TRANS SRL,IASI,Iasi,21317541
1171,BASWARE SRL,IASI,Iasi,14050297
1172,BCC AGREGATE BETOANE SRL,IASI,Bratuleni,19156079
1149,AG STEEL BUILDING & CLADDING SRL,IASI,Bratuleni,30970581
1152,AGROCOMPLEX LUNCA PASCANI SA,IASI,Pascani,1996960
1153,AGROPAN IMPEX SRL,IASI,Iasi,15576550
1154,ALTEN DELIVERY CENTER EASTERN EUROPE SRL,IASI,Iasi,37582102
1155,AMAZON DEVELOPMENT CENTER SRL,IASI,Iasi,
1158,ARCADIA HOSPITAL SRL,IASI,Iasi,24948610
1159,ARCADIA POLICLINIC SRL,IASI,Iasi,26181750
1146,A & S MED WAREHOUSE SRL,IASI,Iasi,33557181
1147,ACCORDING GROUP SRL,IASI,Iasi,7563613
1148,ADN PREFABRICATE SRL,IASI,Iasi,16443616
1224,GBN IMPORT AUTOMOBILE SRL,IASI,Iasi,
1225,GODADDY SERVICES SRL,IASI,Iasi,25935413
1226,GRANARIA CERES SRL,IASI,Tabara,46910446
1227,GRENZEBACH ROMANIA SRL,IASI,Iasi,40619821
1229,HD TRANS TEXTIL SRL,IASI,Holboca,
1230,HELP FLUX SRL,IASI,Iasi,8043104
1232,IASICON SA,IASI,Iasi,1957821
1233,IG WATTEEUW ROMANIA SRL,IASI,Iasi,22282280
1211,ELECTROPUTERE VFU PASCANI SA,IASI,Pascani,1996928
1212,ELEMATIS TECH SRL,IASI,Iasi,28139310
1213,ENVIRO CONSTRUCT SRL,IASI,Bratuleni,18361695
1214,EUROTEX COMPANY SRL,IASI,Iasi,1966587
1215,EXPRESS CREDIT AMANET SRL,IASI,Iasi,14890723
1218,FIDES EXPRESS SRL,IASI,Popricani,28265440
1220,FITERMAN PHARMA SRL,IASI,Iasi,6787981
1221,FOCALITY SRL,IASI,Iasi,23154424
1198,CONSYS INTERNATIONAL SRL,IASI,Iasi,34511999
1200,COVIAL CVA SRL,IASI,Podu Iloaiei,
1202,DAMAREX SRL,IASI,Iasi,
1205,DEMO IDIL CONSTRUCT SRL,IASI,Iasi,33088344
1206,DEMO STRADE GROUP AG SRL,IASI,Iasi,34570162
1207,DEROM DENTAL INTERNATIONAL SRL,IASI,Iasi,13038589
1208,DETENTE SOLUTIONS SRL,IASI,Balciu,45323290
1209,DR. DOBREA CLINIC SRL,IASI,Iasi,13830820
1188,CHIRO LTD SRL,IASI,Iasi,
1189,CITADIN SA,IASI,Iasi,15946407
1190,CLIMA THERM CENTER SRL,IASI,Iasi,13572870
1191,COBYUL SRL,IASI,Iasi,15957724
1193,COMPANIA DE TRANSPORT PUBLIC IASI SA,IASI,Iasi,32175213
1195,CONEST DACIA RESIDENCE SRL,IASI,Iasi,39440961
1196,CONEST SA,IASI,Iasi,1959695
1197,CONEX DISTRIBUTION SA,IASI,Iasi,16019310
1273,ROMPAK SRL,IASI,Pascani,6551041
1274,ROSTOC DEAL SRL,IASI,Iasi,34527766
1275,ROYAL AMEX SRL,IASI,Iasi,30888890
