id_firma,firma,judet,localitate,cui
2465,CONSINTERFIN SRL,VRANCEA,Slobozia Ciorasti,
2466,CRISTILORY PROD SRL,VRANCEA,Panciu,6517651
2467,DEEP SERV 2000 SRL,VRANCEA,Campineanca,12732417
2468,DEGARO SRL,VRANCEA,Golesti,
2470,DUBLU LIC & SIC SRL,VRANCEA,Focsani,27204266
2346,AMBRO SA,SUCEAVA,Suceava,2691530
2402,ROMOLDOVA SRL,SUCEAVA,Fratautii Noi,33642635
2452,AGROBOG STAR SRL,VRANCEA,Focsani,13352386
2454,ANNABELLA SRL,VRANCEA,Suraia,
2455,ARTIFEX SRL,VRANCEA,Focsani,18096610
2456,AURORA COM SRL,VRANCEA,Odobesti,
2459,AVIPUTNA SRL,VRANCEA,Golesti,1436882
57,LICURICI IMPEX SRL,BACAU,Onesti,4102968
49,G A NUTRITIE ANIMALA SRL,BACAU,Brad,18872347
50,HELIOPOLIS PRESTSERV SRL,BACAU,Targu Ocna,
51,HS BACO PANELS SRL,BACAU,Comanesti,
52,INDUSTRIES YIELD SRL,BACAU,Bacau,
53,INTERAGROALIMENT SRL,BACAU,Sascut,5845723
54,INTERTRADE GROUP LTD SRL,BACAU,Bacau,
55,INTERTRANSCOM IMPEX SRL,BACAU,Buhusi,
56,LEADING TECHNOLOGY SOLUTIONS SRL,BACAU,Moinesti,
40,DEMECO SRL,BACAU,Bacau,16514342
41,EDU PRO GRUP SRL,BACAU,Letea Veche,25654868
42,ELECTRIC PLUS SRL,BACAU,Bacau,7920473
43,ELITE CARS FINANCE SRL,BACAU,Bacau,40793843
45,EURO RIN SRL,BACAU,Sascut,14668965
46,EUROPROD SA,BACAU,Bacau,13531071
47,FERMA AVICOLA SERBAN SRL,BACAU,Sascut,12977123
48,FIDOLO COM SRL,BACAU,Carligi,5243124
24,CAMPURI AURII COOPERATIVA AGRICOLA,BACAU,Filipesti,
25,CAPITAL INVEST SRL,BACAU,Moinesti,
26,CAT ION SRL,BACAU,Bacau,946000
27,CEREALCOM SA,BACAU,Bacau,9650015
29,CLUJ BUSINESS CENTRE SRL,BACAU,Bacau,30391679
30,COMPANIA REGIONALA DE APA BACAU SA,BACAU,Bacau,27429315
34,CORIOLAN IMPEX SRL,BACAU,Bacau,4725397
36,CYBERNET AUTO CENTER SRL,BACAU,Bacau,
143,VESTRA INDUSTRY SRL,BOTOSANI,Catamaresti Deal,
264,DASEIN,BUCURESTI,Sector 1,
326,LUFTHANSA,BUCURESTI,Sector 1,
353,OPTIM PM,BUCURESTI,Sector 1,
368,PALMED,BUCURESTI,Sector 1,
374,PATRONATUL ROMAN,BUCURESTI,Sector 2,
387,PHILIPS ROMANIA,BUCURESTI,Sector 2,2593699
2391,ORIENT SRL,SUCEAVA,Radauti,
2483,POLICALITA SRL,VRANCEA,Odobesti,
2069,RIAD TRADE SRL,MURES,Ludus,
2098,SABASCRELST SRL,MURES,Cornesti,42788525
2100,SAF COM SRL,MURES,Zau De Campie,
2108,SARON SRL,MURES,Ludus,
