id_firma,firma,judet,localitate,cui
1558,DACTYLIS PROD SRL,MURES,Ludus,
1564,DANBORCOM SRL,MURES,Jabenita,15800338
1565,DANUBIAN MEAT INDUSTRY SRL,MURES,Seuca,
1421,AUTODAR OIL SRL,MURES,Sarmasel Gara,
1423,AVALON PROPERTY SRL,MURES,Ungheni,
1424,AVE MURES SRL,MURES,Ungheni,
1426,AZIMUT COM SRL,MURES,Acatari,3447233
1436,BARBETRANS SRL,MURES,Saulia,16310903
1463,BOBIN PROD SRL,MURES,Ludus,
1464,BOGDANTUR SRL,MURES,Sovata,
1469,BRICO SRL,MURES,Targu Mures,
1479,C.ONOCAN SRL,MURES,Cristesti,
1484,CAMBRIO AUTO SRL,MURES,Reghin,23723635
1487,CARDINAL PREST SERV SRL,MURES,Ludus,
1358,AGROLUDUS COOPERATIVA AGRICOLA,MURES,Ludus,
1360,AGROPREST SRL,MURES,Dumbravioara,
1363,AGROTRANSCOM EX SRL,MURES,Miercurea Nirajului,
1365,ALCAMA DAIRY SRL,MURES,Faragau,
1384,ALVI TRANS SRL,MURES,Sovata,
1392,ANA COMTRANS SRL,MURES,Iernut,
1400,ARAN EXFOR SRL,MURES,Sovata,
1412,ASMARA PREMIUM BRANDS SRL,MURES,Sighisoara,31789827
1326,ACM ATM SRL,MURES,Sancraiu De Mures,
1332,ADI & MIRCEA TRANS SRL,MURES,Ludus,
1339,ADIMON SRL,MURES,Ludus,
1347,AGRO BOVINE TCD SRL,MURES,Sarmasel Gara,
1350,AGRO ECO TCD SRL,MURES,Sarmasel,
389,PIGNA ROMANIA,BUCURESTI,Sector 6,
441,RAN EVENTS,BUCURESTI,Sector 1,
893,NEW INSOLVENCY SPRL,CLUJ,Cluj Napoca,
911,PHOENIX OMEGA IPURL,CLUJ,Cluj Napoca,
1093,DMT MARINE EQUIPMENT SA,GALATI,Costi,
1150,AGRICOLA 96 SA,IASI,Tiganasi,
1181,CASA AUTO IASI SRL,IASI,Iasi,
3,K BOX CONSTRUCT,,,
