id_firma,firma,judet,localitate,cui
435,QUALITY CROPS AGRO SRL,BUCURESTI,Sector 1,16684649
436,QUARSIS CONSULTING SRL,BUCURESTI,Sector 4,22599416
437,RABBIT MEDIA SRL,BUCURESTI,Sector 4,14951170
415,PROCESS SOLUTIONS,BUCURESTI,Sector 1,21178907
417,PROCTER & GAMBLE DISTRIBUTION SRL,BUCURESTI,Sector 2,17756999
420,PROGRAPHIC ARHITECTURE STUDIO,BUCURESTI,Sector 1,
421,PROMPT SERVICE TOTAL,BUCURESTI,Sector 2,15118170
422,PROPAGANDA CREATIVE SERVICES,BUCURESTI,Sector 2,26640798
423,PROPAGANDA MARKETING RESOURCE,BUCURESTI,Sector 2,
426,PRUTUL SA,BUCURESTI,Sector 1,
427,PUBLICIS GROUPE MEDIA BUCHAREST,BUCURESTI,Sector 1,33883390
402,PPG ROMANIA,BUCURESTI,Sector 3,3540951
404,PREMIUM PORC GROUP,BUCURESTI,Sector 2,
405,PRIAEVENTS,BUCURESTI,Sector 3,
407,PRIME INSOLV PRACTICE SPRL,BUCURESTI,Sector 1,
408,PRIMO PROD SRL,BUCURESTI,Sectorul 4,3739440
410,PRINT GROUP SERV SRL,BUCURESTI,Sector 2,12863862
412,PRO MANAGEMENT INSOLV I.P.U.R.L,BUCURESTI,Sector 3,
414,PROCEMA IMOB SRL,BUCURESTI,Sector 1,1556536
486,SAMCO SA,BUCURESTI,Sector 6,
489,SANOFI ROMANIA SRL,BUCURESTI,Sector 2,11147490
491,SAP ROMANIA,BUCURESTI,Sector 1,18174280
493,SARIS COM 96 SRL,BUCURESTI,Sector 1,8468857
494,SBR SOLETANCHE BACHY FUNDATII SRL,BUCURESTI,Sector 1,17982104
495,SCANDINAVIAN DESIGN HOUSE ROMANIA,BUCURESTI,Sector 1,31424286
497,SCDA INFRASTRUCTURA SRL,BUCURESTI,Sector 2,33609400
499,SCHINDLER ROMANIA SRL,BUCURESTI,Sector 6,11530967
473,ROMSTAL IMEX SRL,BUCURESTI,Sector 4,5350597
474,ROMTEHNICA,BUCURESTI,Sector 6,472771
475,ROSIA MONTANA GOLD CORPORATION,BUCURESTI,Sector 1,
476,ROTARY CONSTRUCTII,BUCURESTI,Sector 3,1565534
477,ROVERE MOBILI,BUCURESTI,Sector 1,31794718
479,ROWE ROMANIA SALES AND DISTRIBUTION SRL,BUCURESTI,Sector 3,34593816
480,RURAL OLTENIA SRL,BUCURESTI,Sector 1,
484,SAFIR '94 IMPEX SRL,BUCURESTI,Sector 5,5624471
463,ROM ENERGY ARMSTRONG,BUCURESTI,Sector 1,5462280
464,ROMANIA GREEN BUILDING COUNCIL,BUCURESTI,Sector 1,
465,ROMANIA SOTHEBY S INTERNATIONAL,BUCURESTI,Sector 1,
466,ROMASTRU TRADING SRL,BUCURESTI,Sector 1,6769462
468,ROMEPS,BUCURESTI,Sector 6,
469,ROMINSOLV SPRL,BUCURESTI,Sector 3,
470,ROMKATEL,BUCURESTI,Sector 5,6039328
471,ROMPETROL DOWNSTREAM,BUCURESTI,Sector 1,12751583
450,REFF & PARTNERS,BUCURESTI,Sector 1,
451,REGINA MARIA (CENTRU MEDICAL UNIREA),BUCURESTI,Sector 1,
454,ROBERT BOSCH SRL,BUCURESTI,Sector 1,5541546
456,ROCHE ROMANIA SRL,BUCURESTI,Sector 1,17551047
458,ROCKWOOL ROMANIA SRL,BUCURESTI,Sector 1,10863700
460,ROFMA,BUCURESTI,Sector 1,
461,ROGALSKI DAMASCHIN PUBLIC RELATIONS,BUCURESTI,Sector 1,22725808
