id_firma,firma,judet,localitate,cui
1286,TEOVAL & CO. SRL,IASI,Targu Frumos,
1287,TERMO SERVICE SA,IASI,Iasi,
1288,TIGLA TONMIR SRL,IASI,Bratuleni,27975244
1289,TOKYO MOTORS SRL,IASI,Iasi,40522615
1290,TRANS OIL MOTORS SRL,IASI,Bohotin,25873523
1292,URBIOLED SRL,IASI,Valea Lupului,
1398,APA TERMIC TRANSPORT SA,MURES,Albesti,1225869
1402,ARDEALE COSMETICS SRL,MURES,Reghin,39516725
1406,ARMIUS SRL,MURES,Targu Mures,18646935
1407,ARMONT SRL,MURES,Targu Mures,5934316
1417,AUNDE C & S AUTOMOTIVE SRL,MURES,Santana De Mures,11648246
1418,AUREXIM SRL,MURES,Rusii Munti,2527008
1382,ALTE GROUP SRL,MURES,Livezeni,47891350
1385,AMANITA FARM SRL,MURES,Targu Mures,7718998
1386,AMARIS PHARM SRL,MURES,Sangeorgiu De Mures,24738731
1389,AMBISCO SRL,MURES,Reghin,14811606
1393,ANDREI TRANS SRL,MURES,Reghin,4619329
1394,ANDSER MEDICA SRL,MURES,Targu Mures,16090360
1366,ALCORA PROD SRL,MURES,Albesti,3446335
1367,ALDOMOL REDNAX SHOP SRL,MURES,Santana De Mures,42707040
1368,ALEGURD EXPEDITION SRL,MURES,Ideciu De Jos,36253497
1369,ALEXTRANS SRL,MURES,Ogra,14428156
1373,ALIN TOP INOX SRL,MURES,Petelea,33896439
1375,ALL4AUTO SRL,MURES,Targu Mures,
1379,ALMAMET SRL,MURES,Tarnaveni,17825819
1352,AGRO PROD COM DOSA SRL,MURES,Chibed,1276366
1353,AGRO ROM IMPEX SRL,MURES,Targu Mures,18297290
1354,AGROFIL COM SRL,MURES,Tarnaveni,29234131
1355,AGROGEEA PRODUCT SRL,MURES,Abus,31278768
1356,AGROGREEN CONCEPT SRL,MURES,Targu Mures,37258719
1478,C & PI COMPROD SRL,MURES,Mihai Viteazu,1252391
1483,CALINUT SRL,MURES,Targu Mures,15896449
1486,CAMRA COM SRL,MURES,Sancraiu De Mures,8827950
1489,CARLA ENERGY SRL,MURES,Targu Mures,18725974
1490,CARMACO AGRO SRL,MURES,Reghin,33489818
1467,BPW FOREST MUNTENIA SRL,MURES,Albesti,38828699
1468,BREWON WORCON SRL,MURES,Matrici,46805831
1470,BRK VAS FOREST SRL,MURES,Hodac,36238454
1471,BRM HOME SOLUTION SRL,MURES,Targu Mures,44752900
1475,BUMEKA PLUS SRL,MURES,Targu Mures,34702557
1440,BAUKNECHT COM SRL,MURES,Targu Mures,7907857
1441,BAVARIA IMPEX SRL,MURES,Tarnaveni,3445992
1442,BBM OUTDOORS SRL,MURES,Sighisoara,39708950
1444,BERATI DISCOUNT SRL,MURES,Fantanele,31246804
1446,BERES PHARMACEUTICALS PRIVATE LTD,MURES,Santana De Mures,
1447,BERLATI SRL,MURES,Fantanele,15571420
1449,BHATZLACHA DREIDEL EUROPE SRL,MURES,Targu Mures,36875104
1458,BLEMA TRANS SRL,MURES,Tarnaveni,16839190
1420,AUTOCOMPLET SRL,MURES,Targu Mures,11113480
1428,AZOTRANS SRL,MURES,Targu Mures,28788473
