id_firma,firma,judet,localitate,cui
2494,VELMI PREST SRL,VRANCEA,Focsani,6486989
2493,VALCOM CONSTRUCT SRL,VRANCEA,Golesti,22552804
7,A E ELECTRONICS SA,BACAU,Bacau,10372559
8,AEROSTAR SA,BACAU,Bacau,950531
9,AGRICOLA INTERNATIONAL SA,BACAU,Bacau,2816014
12,AGROTEHNOGRUP SRL,BACAU,Onesti,959280
13,ALIANT BUSINESS SOLUTIONS SRL,BACAU,Bacau,980141
14,AQUILA FASHION SRL,BACAU,Onesti,16111048
2440,PERPETUUS COM SRL,VASLUI,Barlad,26614160
2441,PLANTAGRO COM SRL,VASLUI,Vaslui,14221761
2443,RULMENTI SA,VASLUI,Barlad,2808089
2445,SAGEM SRL,VASLUI,Gara Rosiesti,9721337
2447,TEGROSTAR SRL,VASLUI,Tutova,23919713
2448,TRANSMIR SRL,VASLUI,Salcioara,10400632
2450,VASCAR SA,VASLUI,Vaslui,829522
2451,VIACONS RUTIER SRL,VASLUI,Husi,14234540
2427,CLASS FARM WAREHOUSE SRL,VASLUI,Barlad,32700819
2428,CLEOPATRA CENTER SRL,VASLUI,Barlad,9983702
2429,CRISMIH SRL,VASLUI,Barlad,14768395
2431,FABRICA DE CARNE MORANDI SRL,VASLUI,Muntenii De Jos,29645935
2432,GARTEK SRL,VASLUI,Husi,13616569
2434,KATAR CONNEG SRL,VASLUI,Negresti,
2436,LANDCOM SRL,VASLUI,Vaslui,14870831
2437,MIOCODIS SRL,VASLUI,Barlad,16196761
2414,TERMOHABITAT SRL,SUCEAVA,Patrauti,30688468
2417,TRUTZI SRL,SUCEAVA,Scheia,17898144
2418,TUDIA SRL,SUCEAVA,Suceava,11963790
2419,VALVIS HOLDING DISTRIBUTION SA,SUCEAVA,Vatra Dornei,
2420,WOOD CHIPPER SRL,SUCEAVA,Cornu Luncii,33115767
2424,AQUAVAS SA,VASLUI,Vaslui,17986823
2425,BADELMAD SRL,VASLUI,Vaslui,39679510
2426,BERLIN SRL,VASLUI,Barlad,
2403,ROYAL CLUBINVEST SRL,SUCEAVA,Falticeni,27098785
2404,S.U.C.T. SA,SUCEAVA,Suceava,
2405,SAVCOM SRL,SUCEAVA,Scheia,8319871
2406,SET CORPORATION SRL,SUCEAVA,Scheia,29084042
2407,SIDEM SRL,SUCEAVA,Scheia,13847989
2408,SIMOS COM SRL,SUCEAVA,Falticeni,9066947
2409,STRONG MND CORPORATION SRL,SUCEAVA,Suceava,30852551
2412,TARSINCOM SRL,SUCEAVA,Vicovu De Sus,
98,VIMERCATI EAST EUROPE SRL,BACAU,Hemeius,22916476
99,ABC CON INTERNATIONAL SRL,BOTOSANI,Botosani,23617561
100,BERISTEANU IMPEX SRL,BOTOSANI,Botosani,3671876
102,CARREMAN ROMANIA SRL,BOTOSANI,Botosani,15031617
104,CEREAL BAC SRL,BOTOSANI,Avrameni,18511261
105,CEREAL LANDMAR SRL,BOTOSANI,Botosani,34356038
106,COMCEREAL SA,BOTOSANI,Botosani,8278020
107,CONREC SRL,BOTOSANI,Botosani,
89,TECNOSTAMP TRIULZI EAST EUROPE SRL,BACAU,Hemeius,18986597
90,TEHNOSTRADE SRL,BACAU,Bacau,17042060
