id_firma,firma,judet,localitate,cui
1276,RUTILLI ADOLFO SRL,IASI,Iasi,13569610
1278,SANDRA TRADING SRL,IASI,Iasi,6607738
1279,SERVICES ROMANIA SRL,IASI,Iasi,
1280,SERVICII PUBLICE IASI SA,IASI,Iasi,27277063
1282,SIGNIVIS SRL,IASI,Tomesti,37378154
1260,PESTOS SRL,IASI,Iasi,11547381
1261,PHARMA SA,IASI,Iasi,13591928
1262,PHINIA DELPHI ROMANIA SRL,IASI,Bratuleni,22001686
1264,PRIMA CONSTRUCT SRL,IASI,Iasi,14530430
1266,QUARTZ MATRIX SRL,IASI,Iasi,5150840
1267,QUATRO GRUP DISTRIBUTION SRL,IASI,Iasi,25168353
1270,RESONANCE DISTRIBUTION SRL,IASI,Iasi,25323457
1271,RITMIC COM SRL,IASI,Iasi,
1251,MISAVAN TRADING SRL,IASI,Bratuleni,26784173
1252,MOLDOVA SEMINTE SRL,IASI,Bivolari,35186969
1253,MOLDOVA TIGANASI SA,IASI,Tiganasi,1943036
1254,MOTEXCO SRL,IASI,Iasi,10727872
1255,NERA COMPUTERS SRL,IASI,Uricani,14664386
1256,NOVA MIRO SRL,IASI,Targu Frumos,
1257,OMCO ROMANIA SRL,IASI,Iasi,17891928
1258,PALAS 1 SRL,IASI,Iasi,22476820
1234,IMPORT CARS LEASING SRL,IASI,Iasi,16895530
1235,INDUSTRIALIZAREA CARNII KOSAROM SA,IASI,Pascani,1997087
1241,LORIMER SRL,IASI,Pascani,6015400
1242,MADO CORPORATION SRL,IASI,Bratuleni,25308163
1244,MARCEL SRL,IASI,Rachiteni,
1245,MB DISTRIBUTION MED SRL,IASI,Iasi,38485175
1249,MIGDALIN SRL,IASI,Iasi,15085498
1250,MIHAK & TIBAK SRL,IASI,Lunca Cetatuii,26784122
1341,ADRA 2011 SRL,MURES,Targu Mures,28635780
1345,AGC URBIO SRL,MURES,Targu Mures,39395704
1346,AGF NUOVAGROUP SRL,MURES,Targu Mures,27228206
1348,AGRO CISMAS SRL,MURES,Pogaceaua,29727784
1349,AGRO COM ALBERT SRL,MURES,Parau Crucii,17974918
1351,AGRO INVEST OVIM SRL,MURES,Targu Mures,36390060
1324,ACANTHA FARM SRL,MURES,Gurghiu,2533042
1331,ADDICOO BFN SRL,MURES,Sangeorgiu De Mures,35707030
1333,ADI DEL BOCA SRL,MURES,Saulia,18634515
1334,ADI DRAG TRANS SRL,MURES,Targu Mures,28658210
1338,ADIMEX SRL,MURES,Targu Mures,1206158
1293,USI365 DEVELOPMENT SRL,IASI,Iasi,3205116
1294,VATICIP ADY SRL,IASI,Iasi,8818081
1295,VETRO SOLUTIONS SA,IASI,Iasi,30740124
1298,ZOORK SRL,IASI,Tomesti,37836928
1308,PICOFARM SRL,ILFOV,Popesti Leordeni,
1315,DESTINATAR<50C,JUDET,Localitate_Destinatar,
1320,A & Z TRANS SRL,MURES,Targu Mures,23180890
1323,ABSOLUT GRANIT SRL,MURES,Targu Mures,39077611
1283,SIOROM SRL,IASI,Iasi,30626899
1285,SUNRISE MOTORS SRL,IASI,Letcani,39864134
