id_firma,firma,judet,localitate,cui
1832,LION COMPANY SRL,MURES,Sanmartinu De Campie,16585025
1835,LOROPAR FOODERS SRL,MURES,Breaza,18461139
1840,LUPU TRANS SRL,MURES,Reghin,18705144
2206,TOTH COMEL IMPEX SRL,MURES,Targu Mures,1198730
2207,TOTH PEK SRL,MURES,Galesti,16310890
2208,TOTHCAR COMPANY IMPEX SRL,MURES,Corunca,9692851
2213,TRANS AGROOVINEX SRL,MURES,Cerghid,
2214,TRANS COM HE SRL,MURES,Nazna,1281290
2215,TRANS PAUSER SRL,MURES,Cristesti,30542445
2218,TRANSFOR SRL,MURES,Targu Mures,20695468
2183,TIBERIU GLAS SRL,MURES,Sancraiu De Mures,15015689
2185,TIGER SECURITY SRL,MURES,Cristesti,18371435
2186,TIM CRIS SRL,MURES,Ludus,
2189,TISZA GAME SRL,MURES,Targu Mures,18048435
2193,TOMEK CARPET COMPANY SRL,MURES,Targu Mures,13115819
2198,TOPMED INVEST LOGISTIC SRL,MURES,Targu Mures,38855162
2203,TOTAL AGC PETRO GAS SRL,MURES,Targu Mures,25837148
2204,TOTAL PETRO GAS CONSTRUCT SRL,MURES,Targu Mures,44795073
2150,STRUCTOFORM CONSTRUCT SRL,MURES,Tarnaveni,41394000
2151,SUBTRANSCON SRL,MURES,Targu Mures,10527220
2162,SYSTEM AUTOLOGISTIC SRL,MURES,Targu Mures,49590702
2164,SZABO CONSULTING SRL,MURES,Targu Mures,6668034
2166,TALENT STORE SRL,MURES,Targu Mures,26415079
2173,TEMAS MURES RO SRL,MURES,Cristesti,40106559
2180,THE GREATEST TOURS SRL,MURES,Targu Mures,39060776
2134,SMARTDREAMERS SA,MURES,Targu Mures,
2137,SOLOMON PRODCOM SRL,MURES,Sangeorgiu De Mures,2609167
2143,STEF MOL TRANSCOM SRL,MURES,Targu Mures,19060631
2146,STOMATER SERV COM SRL,MURES,Ludus,
2147,STONEFIT SRL,MURES,Ideciu De Jos,25334405
2149,STR8MINDS SRL,MURES,Sancraiu De Mures,42470610
1990,PATICO DELICATESE SRL,MURES,Reghin,17947840
1995,PET RECYCLING TEAM TARGU MURES SA,MURES,Targu Mures,45794432
2010,PONDEROSA COMPANY SRL,MURES,Targu Mures,15095327
2011,POPAS SIMPATHY SRL,MURES,Sanisor,18865242
1969,OMNIHEALTH SRL,MURES,Sarmasu,
1974,ORLANDEA SRL,MURES,Tarnaveni,15844210
1978,OVERSIZE TRANSPORT SRL,MURES,Targu Mures,49885690
1979,OVM OIL SRL,MURES,Iod,18774446
1982,PAI AGROCOMPLEX SRL,MURES,Tarnaveni,28265016
1985,PANI PLAST SRL,MURES,Reghin,1235609
1988,PARTS BY TESSA SRL,MURES,Targu Mures,45382245
1989,PASIFLORA FARM SRL,MURES,Ceuasu De Campie,8837512
1934,NARIDA HORECA SRL,MURES,Targu Mures,47035013
1958,NOVOFARM SRL,MURES,Targu Mures,1201584
1959,NUNILUS SRL,MURES,Sancraiu De Mures,22380393
1963,OLEANDER GARDEN SRL,MURES,Curteni,17568243
1968,OMNIEXPRESS SRL,MURES,Livezeni,28089440
1905,MOBIGRY COM SRL,MURES,Targu Mures,12288560
1912,MONING SRL,MURES,Tarnaveni,28201659
