id_firma,firma,judet,localitate,cui
322,LESAFFRE ROMANIA SRL,BUCURESTI,Sector 1,11478044
323,LIBRA INTERNET BANK,BUCURESTI,Sector 3,
324,LION COMMUNICATION SERVICES,BUCURESTI,Sector 1,25848554
325,LUBEXPERT,BUCURESTI,Sector 1,
58,LUSI UNION SILUSI SRL,BACAU,Targu Trotus,24523449
312,KINNARPS ROMANIA,BUCURESTI,Sector 1,
313,KINSTELLAR,BUCURESTI,Sector 1,
315,KMG ROMPETROL,BUCURESTI,Sector 1,27516586
316,KNAUF INSULATION,BUCURESTI,Sector 1,24527521
317,KNIGHT FRANK ROMANIA,BUCURESTI,Sector 1,25307184
386,PFIZER ROMANIA SRL,BUCURESTI,Sector 1,16563680
388,PHM COMSERV,BUCURESTI,Sectorul 4,21314065
390,PINUM DOORS & WINDOWS SRL,BUCURESTI,Sector 2,24230589
392,PLENERG SRL,BUCURESTI,Sector 3,36115095
394,POPP & ASOCIATII INGINERIE GEOTEHNICA,BUCURESTI,Sector 1,21875513
395,PORR BAU GMBH,BUCURESTI,Sector 2,
375,PAUL HARTMANN SRL,BUCURESTI,Sector 2,3102390
376,PAYPOINT SERVICES SRL,BUCURESTI,Sector 1,21307815
377,PAYU ROMANIA,BUCURESTI,Sector 5,23463080
379,PC MANAGEMENT & CONSULTING,BUCURESTI,Sector 1,46159102
381,PEGASUS ENGINEERING SRL,BUCURESTI,Sector 2,26283130
383,PEPCO RETAIL SRL,BUCURESTI,Sector 1,31477663
384,PERFECT CARE DISTRIBUTION SRL,BUCURESTI,Sector 3,29936640
385,PERNOD RICARD,BUCURESTI,Sector 3,
366,P.A.R. POLYMERS SRL,BUCURESTI,Sectorul 6,
367,P.R.B ASIGURARE SI REASIGURARE,BUCURESTI,Sector 1,
369,PANDORA JEWELRY ROMANIA SRL,BUCURESTI,Sector 4,26102381
371,PARCUL INDUSTRIAL FAUR,BUCURESTI,Sector 3,
372,PARFUMERIE DOUGLAS SRL,BUCURESTI,Sector 1,22254794
373,PASION SERVICE SRL,BUCURESTI,Sector 5,15475814
356,ORACLE ROMANIA SRL,BUCURESTI,Sector 2,15058256
358,ORGANIZATIA ECOTIC,BUCURESTI,Sector 4,
360,OTHO ESTATE,BUCURESTI,Sector 1,34865376
361,OTP BANK ROMANIA SA,BUCURESTI,Sector 1,7926069
362,OXIGEN AGRO PRODUCT COMPANY SRL,BUCURESTI,Sector 3,26048495
363,OXYGEN,BUCURESTI,Sector 2,
364,OXYGEN PUBLIC RELATIONS SRL,BUCURESTI,Sector 1,23910846
365,P. DUSSMANN SERV ROMANIA SRL,BUCURESTI,Sector 1,9225651
438,RADACINI MOTORS SRL,BUCURESTI,Sector 6,17083558
440,RAIFFEISEN BROKER ASIGURARE,BUCURESTI,Sector 1,
444,RASIROM,BUCURESTI,Sector 2,
445,RCS & RDS SA,BUCURESTI,Sector 5,
446,REAL - SOL,BUCURESTI,Sector 1,
448,RECKITT BENCKISER SRL,BUCURESTI,Sector 1,
449,RECORDATI ROMANIA SRL,BUCURESTI,Sector 5,17019695
428,PUBLICIS ROMANIA,BUCURESTI,Sector 1,
430,PWC ROMANIA,BUCURESTI,Sector 1,
431,PZP ARHITECTURA,BUCURESTI,Sector 1,15333810
432,Q MAX BUSINESS CONSULTING SRL,BUCURESTI,Sector 1,23010682
434,QUADRANT AMROQ BEVERAGES SR QUADRANT,BUCURESTI,Sector 4,
