id_firma,firma,judet,localitate,cui
462,ROHDE & SCHWARZ TOPEX SA,BUCURESTI,Sector 2,6502278
529,SODEXO PASS ROMANIA SRL,BUCURESTI,Sector 2,
531,SOFTELLIGENCE SRL,BUCURESTI,Sector 2,19333723
532,SOLARIS BUS & COACH ROMANIA,BUCURESTI,Sector 2,36297310
534,SOMACO HOLDING SA,BUCURESTI,Sector 6,15764367
535,SPECTRUM BRANDS ROMANIA,BUCURESTI,Sector 1,
536,SPEEH HIDROELECTRICA SA,BUCURESTI,Sector 1,
537,SPHERA FRANCHISE GROUP,BUCURESTI,Sector 1,37586457
539,SPITALUL REGINA MARIA,BUCURESTI,Sector 1,
521,SMART ID DYNAMICS SA,BUCURESTI,Sector 1,27043917
522,SMART POINT,BUCURESTI,Sector 1,18738800
523,SMART SA,BUCURESTI,Sector 4,
524,SMARTECH CONSULT SRL,BUCURESTI,Sector 2,13991177
525,SMARTREE ROMANIA SRL,BUCURESTI,Sector 1,
526,SN NUCLEARELECTRICA SA,BUCURESTI,Sector 1,
527,SOCIETATEA ELECTRICA SA,BUCURESTI,Sector 1,
528,SOCIETATEA IOR SA BUCURESTI,BUCURESTI,Sector 3,
511,SIEMENS SRL,BUCURESTI,Sector 6,7614474
512,SIGNIFY ROMANIA SRL,BUCURESTI,Sector 2,34715280
513,SII ROMANIA,BUCURESTI,Sector 5,10239863
514,SIMARTIS TELECOM,BUCURESTI,Sector 1,14756951
515,SINDAN PHARMA SRL,BUCURESTI,Sector 1,15186239
517,SIXENSE SOLDATA SAS,BUCURESTI,Sector 1,
519,SKYLUX CONSTRUCTION SRL,BUCURESTI,Sector 3,24624699
520,SMART ELECTRO DISTRIBUTION SRL,BUCURESTI,Sector 3,18643548
500,SCHLUMBERGER ROMANIA SRL,BUCURESTI,Sector 1,17879754
501,SCHNEIDER ELECTRIC ROMANIA SRL,BUCURESTI,Sector 2,9189605
502,SEA ROMANIA SRL,BUCURESTI,Sector 5,12472120
503,SECOM HEALTHCARE SRL,BUCURESTI,Sector 2,8978457
504,SENTIENT SRL,BUCURESTI,Sector 1,12835501
507,SHOEBOX PRODUCT ROMANIA SRL,BUCURESTI,Sector 1,27702511
508,SIAD ROMANIA,BUCURESTI,Sector 6,8184529
510,SIE ROMANIA,BUCURESTI,Sector 1,
576,THE PUBLIC ADVISORS SRL,BUCURESTI,Sector 2,32347181
577,THINKDIGITAL INTERNET & ADVERTISING,BUCURESTI,Sector 1,23923595
578,TIMAC AGRO ROMANIA,BUCURESTI,Sector 2,18529951
579,TINMAR ENERGY SA,BUCURESTI,Sector 1,34620961
581,TIRIAC HOLDINGS,BUCURESTI,Sector 1,
582,TITAN MASINI GRELE,BUCURESTI,Sector 3,335928
583,TNT ROMANIA SRL,BUCURESTI,Sector 1,
585,TOP LINE EUROPA,BUCURESTI,Sector 4,23439928
566,TEHNO ELECTRO MEDICAL COMPANY SRL,BUCURESTI,Sector 2,217930
568,TELETRANS SA,BUCURESTI,Sector 1,
570,TEMPERA ADVERTISING,BUCURESTI,Sector 6,21597794
571,TEMPO ADVERTISING,BUCURESTI,Sector 1,8247708
572,TEMPOS SERV SRL,BUCURESTI,Sector 2,9995561
573,TESARO KIT CONSTRUCT,BUCURESTI,Sector 2,30917561
574,TEVA PHARMACEUTICALS SRL,BUCURESTI,Sector 2,18766869
575,THE HOUSE PR AGENCY,BUCURESTI,Sector 2,
554,SYSCOM,BUCURESTI,Sector 3,
