id_firma,firma,judet,localitate,cui
1066,ANDRADA SRL,GALATI,Galati,
1067,ANDREEAS 95 EXIM SRL,GALATI,Costi,
1068,APA CANAL SA,GALATI,Galati,16914128
1069,ARABESQUE SRL,GALATI,Galati,5340801
1070,ARCADA COMPANY SA,GALATI,Galati,5437520
1072,AUTOGARA METROPOLI SRL,GALATI,Galati,17666837
1046,WOLFPACK DIGITAL SRL,CLUJ,Cluj Napoca,33986230
1047,WOODEN TECHNIC PRODIMPEX,CLUJ,Cluj Napoca,6064151
1048,WORWAG PHARMA ROMANIA,CLUJ,Cluj Napoca,
1049,YARDI,CLUJ,Cluj Napoca,
1050,YONDER SRL,CLUJ,Cluj Napoca,4906881
1051,ZIPPER SERVICES SRL,CLUJ,Cluj Napoca,16723187
1053,FOTONIA SHINE RETENTION SRL,CONSTANTA,Constanta,41298460
1060,ADMINISTRATIA FLUVIALA A DUNARII DE JOS GALATI RA,GALATI,Galati,1644670
1131,QUANTUM CONSTRUCT SRL,GALATI,Vanatori,24391259
1135,ROJEVAS 2000 SRL,GALATI,Targu Bujor,
1136,ROVIS LIDER SRL,GALATI,Galati,12430567
1137,S.F.TEX SA,GALATI,Galati,
1138,SANTIERUL NAVAL DAMEN GALATI SA,GALATI,Galati,1651643
1141,TRANSURB SA,GALATI,Galati,10890801
1144,VIDAFAN SRL,GALATI,Tecuci,17690371
1145,SOUTH LAND INVEST SRL,GIURGIU,Gradinari,
1121,NADICER SRL,GALATI,Galati,15804453
1123,NEXT ENERGY PARTNERS SRL,GALATI,Galati,29156777
1124,NOMIS 2003 SRL,GALATI,Galati,15193295
1125,NOY BUSINESS TRANZACTIONS SRL,GALATI,Vanatori,6266134
1126,PALOMINO NOVA COOP SRL,GALATI,Galati,7843079
1128,PENTAGON SRL,GALATI,Tecuci,
1129,PRUTUL AGRI TRADE SRL,GALATI,Galati,26162391
1130,PRUTUL SA,GALATI,Galati,1632862
1109,LIBERTY GALATI SA,GALATI,Galati,1639739
1110,LIBERTY TUBULAR PRODUCTS GALATI SA,GALATI,Galati,20281547
1112,LUNOK SRL,GALATI,Galati,14642760
1115,MANAGRO GRAINS MCO SRL,GALATI,Galati,31607593
1116,MARCOSER SRL,GALATI,Matca,18127822
1117,MEDART LOGISTICS SRL,GALATI,Galati,27862946
1118,METPROM STEEL TRADE SRL,GALATI,Galati,41325069
1120,MYOSOTIS SRL,GALATI,Galati,1633019
1098,EW LOGISTICS EXPRESS SRL,GALATI,Galati,31195069
1100,FRANCU ROMANIA SRL,GALATI,Galati,25026510
1101,GENDAV SRL,GALATI,Galati,21286399
1102,GRANDE GLORIA PRODUCTION SA,GALATI,Costi,33844286
1103,ICEPRONAV ENGINEERING SRL,GALATI,Galati,18369206
1104,IMEX MET COLECT DESEURI SRL,GALATI,Branistea,40484953
1106,IULICRIS RECYCLING SRL,GALATI,Branistea,29926728
1107,LABORATORIUM SRL,GALATI,Targu Bujor,
1180,CARETTA SRL,IASI,Iasi,18586086
1182,CASA AUTO LETCANI SRL,IASI,Iasi,26087338
1184,CASREP SRL,IASI,Bratuleni,3206081
1185,CATENA SRL,IASI,Iasi,5885051
