id_firma,firma,judet,localitate,cui
248,COMTEC 2000 INC,BUCURESTI,Sector 6,6423689
220,AUTONET SRL,BUCURESTI,Sector 6,11185770
227,BASF ROMANIA,BUCURESTI,Sector 2,
228,BAUMIT ROMANIA,BUCURESTI,Sector 6,7568475
231,BOG`ART,BUCURESTI,Sector 1,17487
232,BOIRON RO SRL,BUCURESTI,Sector 1,12655292
233,BOREALIS L.A.T ROMANIA,BUCURESTI,Sector 2,
234,BOSCH ROMANIA,BUCURESTI,Sector 1,
235,BOUYGUES ROMANIA,BUCURESTI,Sector 1,1551091
199,AGRANA ROMANIA,BUCURESTI,Sector 1,2083754
202,AISR ROMANIA,BUCURESTI,Sector 1,
203,ALBALACT SA BUCURESTI,BUCURESTI,Sector 1,
204,ALCEDO SRL,BUCURESTI,Sector 1,350278
209,ARACO,BUCURESTI,Sector 3,3019660
213,ARION GREEN FELIX SRL,BUCURESTI,Sectorul 2,40274501
215,ART GROUP INT SRL,BUCURESTI,Sector 1,6506350
218,AUTO ITALIA IMPEX SRL,BUCURESTI,Sector 6,3786213
301,JAZZ COMMUNICATION SRL,BUCURESTI,Sector 1,28994570
302,JONES LANG LASALLE SERVICES SRL,BUCURESTI,Sector 1,16563710
303,JT INTERNATIONAL MANUFACTURING SA,BUCURESTI,Sector 2,4364012
305,JUST MASTER ACTIVITIES,BUCURESTI,Sector 5,28508930
308,KAUFLAND ROMANIA,BUCURESTI,Sector 2,15991149
309,KEPLER ROMINFO,BUCURESTI,Sector 2,7104114
310,KIA ROMAUTO SRL,BUCURESTI,Sector 1,16076943
311,KIK ROMANIA,BUCURESTI,Sector 3,
285,IL MAESTRO SRL,BUCURESTI,Sectorul 1,18030748
291,ING BANK ROMANIA,BUCURESTI,Sector 1,
292,INTERAGRO SA,BUCURESTI,Sector 2,7722930
295,ISOVOLTA SA,BUCURESTI,Sector 3,11703677
297,IVANTI SOFTWARE ENGINEERING,BUCURESTI,Sector 1,36086534
298,IVATHERM SA,BUCURESTI,Sector 1,
299,IVCON SRL,BUCURESTI,Sector 3,3013838
300,JANSSEN ROMANIA,BUCURESTI,Sector 1,
273,HEIDELBERGCEMENT ROMANIA,BUCURESTI,Sector 1,
274,HOFIGAL EXPORT-IMPORT SA,BUCURESTI,Sector 4,384530
275,HOGARTH & OGILVY,BUCURESTI,Sector 1,
277,HOLLAND FARMING AGRO,BUCURESTI,Sector 5,23261030
279,HS TIMBER PRODUCTIONS SRL,BUCURESTI,Sector 1,14554103
281,HUNTER DOUGLAS ROMANIA,BUCURESTI,Sector 2,17051777
282,HUSQVARNA,BUCURESTI,Sector 1,
284,HYUNDAI AUTO ROMANIA SRL,BUCURESTI,Sector 1,6104191
259,CREDIT EUROPE BANK,BUCURESTI,Sector 3,
260,CREDITCOOP,BUCURESTI,Sector 6,
261,CRH CIMENT SA,BUCURESTI,Sector 1,
262,DANONE ROMANIA,BUCURESTI,Sector 2,
263,DANTE INTERNATIONAL,BUCURESTI,Sector 6,14399840
265,DC COMMUNICATIONS,BUCURESTI,Sector 5,
266,DDB ADVERTISING AGENCY,BUCURESTI,Sector 1,17026846
348,OMV PETROM MARKETING,BUCURESTI,Sector 1,11201891
349,ONE TOUCH ADVERTISING,BUCURESTI,Sector 1,
