id_firma,firma,persoana,candidati_mx
1148,ADN PREFABRICATE SRL,Giurgiu Adrian,adnprefabricate.ro
1154,ALTEN DELIVERY CENTER EASTERN EUROPE SRL,Marchet Didier Rene Henri,alten.ro;alten.com
1158,ARCADIA HOSPITAL SRL,Fiterman Dan,arcadiahospital.ro;arcadiahospital.com
1161,ASAM SA,Patras Mihai,asam.ro;asam.eu
1164,AUTO MARKET SRL,Timpu Ramona Monica,automarket.ro;automarket.com
1169,AVIS TRANS SRL,Craciun Alexandru,avis-trans.com
1171,BASWARE SRL,Kurtz Jason Mark,basware.com;basware.eu
1175,BRIKSTON CONSTRUCTION SOLUTIONS SA,Leier Michael,brikston.ro
1176,BRIO GROUP SRL,Nicola Andrei Lucian,briogroup.net;brio-group.com
1178,BSG INVEST OIL SRL,Barbalata Silviu Gabriel,bsginvestoil.com
1180,CARETTA SRL,Marcu Ciprian,caretta.ro;caretta.com
1181,CASA AUTO IASI SRL,,casaautoiasi.ro
1184,CASREP SRL,Craus Paul Lucian,casrep.com;casrep.net
1185,CATENA SRL,Mihaita Lucian Ionut,catena.ro;catena.com
1187,CENTRIC IT SOLUTIONS ROMANIA SRL,De Reus Bastiaan Jan,centric.com;centric.eu
1188,CHIRO LTD SRL,Soric Mihaela,chiroltd.com
1189,CITADIN SA,Postolache Adrian Gigi,citadin.eu;citadin.net
1191,COBYUL SRL,Ciaun Iulian,cobyul.ro
1193,COMPANIA DE TRANSPORT PUBLIC IASI SA,Grigoriu Ioan,compania.ro;compania.net
1196,CONEST SA,Pistea Roxana Maria,conest.com;conest.eu
1197,CONEX DISTRIBUTION SA,Martonca Cristian Anton,conexdistribution.ro
1198,CONSYS INTERNATIONAL SRL,Coman Dan Bogdan,consys-international.ro
1202,DAMAREX SRL,Haulica Gabriel,damarex.com
1213,ENVIRO CONSTRUCT SRL,Chihaia Dan,enviroconstruct.ro
1220,FITERMAN PHARMA SRL,Fiterman Solomon,fitermanpharma.ro;fitermanpharma.com
1221,FOCALITY SRL,Rusu Cezar Dumitru,focality.ro;focality.com
1225,GODADDY SERVICES SRL,Dumitriu Diana Elena,godaddyservices.com;godaddy-services.com
1229,HD TRANS TEXTIL SRL,Hanu Laurentiu,hdtranstextil.com
1230,HELP FLUX SRL,Ionascu Bogdan Alexandru,helpflux.ro;helpflux.com
1232,IASICON SA,Stoian Ioan,iasicon.ro
1241,LORIMER SRL,Pintilie Loredana Elena,lorimer.com;lorimer.eu
1244,MARCEL SRL,Iacob Marcel,marcel.ro;marcel.eu
1249,MIGDALIN SRL,Amarandei Emilia,migdalin.ro
1254,MOTEXCO SRL,Coman Ciprian,motexco.ro
1255,NERA COMPUTERS SRL,Chiriac Gabriela Valentina,neracomputers.ro
1256,NOVA MIRO SRL,Miron Constantin,novamiro.ro
1257,OMCO ROMANIA SRL,Boghiu Gigi,omcoromania.ro
1258,PALAS 1 SRL,Iatco Radu Constantin,palas.com;palas.eu
1260,PESTOS SRL,Chiriac Petru,pestos.com;pestos.eu
1261,PHARMA SA,Nicuta Constantin,pharma.ro;pharma.com
1264,PRIMA CONSTRUCT SRL,Enea Iustian Marius,primaconstruct.ro;primaconstruct.com
1266,QUARTZ MATRIX SRL,Suchar Mihai Valentin,quartzmatrix.ro
1271,RITMIC COM SRL,Corneanu Costel,ritmic-com.ro
1273,ROMPAK SRL,Constantin Lungu Despina Adriana,rompak.ro;rompak.com
1274,ROSTOC DEAL SRL,Andrei Ana Maria,rostocdeal.com
1275,ROYAL AMEX SRL,Scafaru Catalin,royalamex.ro
1276,RUTILLI ADOLFO SRL,Rutilli Guido,rutilliadolfo.com
1278,SANDRA TRADING SRL,Gradinariu Sorel,sandratrading.com
1282,SIGNIVIS SRL,Acatrinei Sergiu Emanuel,signivis.com
1285,SUNRISE MOTORS SRL,Gradinariu Sanda Jenia,sunrisemotors.com;sunrise-motors.com
1287,TERMO SERVICE SA,Tiron Vasile,termoservice.ro;termoservice.net
1289,TOKYO MOTORS SRL,Vasilescu Stefan Bogdan,tokyomotors.com;tokyomotors.net
1295,VETRO SOLUTIONS SA,Fodor Dumitru,vetrosolutions.ro
1298,ZOORK SRL,Harhata Constantin Alin,zoork.ro
1320,A & Z TRANS SRL,Benyi Peti Zoltan,trans.ro;trans.com
1338,ADIMEX SRL,Ignat Petre,adimex.com;adimex.eu
1339,ADIMON SRL,,adimon.com;adimon.net
1348,AGRO CISMAS SRL,Cismas Gheorghe,agrocismas.com
1353,AGRO ROM IMPEX SRL,Botezat Aurelian,agroromimpex.ro
1360,AGROPREST SRL,,agroprest.ro;agroprest.com
1369,ALEXTRANS SRL,Neacsa Laurentiu Valentin,alextrans.ro;alextrans.eu
1375,ALL4AUTO SRL,Zsoldos Szabolcs,all4auto.ro
1379,ALMAMET SRL,Stephan Steinacker,almamet.com;almamet.eu
1389,AMBISCO SRL,Căpuşan Laurenţiu-Marcel,ambisco.com
1393,ANDREI TRANS SRL,Deac Gavril,andreitrans.com
1407,ARMONT SRL,Baciu Mircea Vasile,armont.com
1420,AUTOCOMPLET SRL,Lazar Octavian Dorin,autocomplet.com
1423,AVALON PROPERTY SRL,,avalonproperty.ro
1424,AVE MURES SRL,,avemures.com
1428,AZOTRANS SRL,Suciu Eugenia,azotrans.ro
1446,BERES PHARMACEUTICALS PRIVATE LTD,Galfalvy Laszlo,beres.ro;beres.com
1447,BERLATI SRL,Bernad Lajos,berlati.com
1458,BLEMA TRANS SRL,Bleoca Marius Ciprian,blematrans.ro
1468,BREWON WORCON SRL,Bereczki Botond,brewon-worcon.com
1469,BRICO SRL,,brico.ro;brico.com
1470,BRK VAS FOREST SRL,Gliga Florina Vasilica,brkvasforest.ro
1479,C.ONOCAN SRL,,onocan.com
1483,CALINUT SRL,Pop Călin,calinut.com;calinut.net
1489,CARLA ENERGY SRL,Moldovan Valer Adrian,carlaenergy.com
1503,CEREALAND SRL,Şoş Aurelian-Gabriel,cerealand.com
1513,CITY AUTOMOBILE SRL,Togan Florina,cityautomobile.eu;city-automobile.com
1520,COBINET SRL,Enrico Uwe Konig,cobinet.ro;cobinet.com
1525,COMCEREAL SARMASEL COOPERATIVA AGRICOLA,Toth Darius Liviu,comcereal.ro
1530,COMPANIA DE DEMOLARI INDUSTRIALE SRL,Miklos Csongor,compania.ro;compania.net
1542,CONSTRUCTII FEROVIARE MURES SA,Herman Andra Teodora,constructii.ro;constructii.eu
1546,COOPERATIVA AGRICOLA ECO AGRAS,Beian Teodor Cătălin,cooperativa.ro;cooperativa.eu
1548,COSTACOS EXCHANGE SRL,Pop Nicolae,costacos-exchange.ro
1584,DIADRAG SRL,Cernea Daniela,diadrag.ro
1588,DIEGO MS SRL,Takacs Jozsef,diegoms.com
1610,ECOHELP SRL,Husti Calin George,ecohelp.ro;ecohelp.eu
1619,ELAN FRUIT SRL,Pop Levente,elanfruit.ro
1638,ENERGY TUBE SRL,Friciu Alexandru-Florin,energytube.com
1653,EUROPTICA SRL,Hîncu Daniela-Dacia,europtica.com
1656,EVENTUS COM CONSTRUCT SRL,Friciu Alexandru Florin,eventuscomconstruct.com
1659,EXCALIBUR SRL,Lukacs Monica,excalibur.com;excalibur.eu
1660,EXCELO MILK SRL,Sasebes Claudiu Stelian,excelomilk.com
1665,F & G ECO SRL,Gramadă Gheorghe-Daniel,eco.com;eco.eu
1673,FARMACEUTICA B & B SRL,Benedek Terezia,farmaceutica.com;farmaceutica.eu
1679,FAST WAY AUTO SRL,Oroian Dragos Ovidiu,fastwayauto.com
1681,FENYES SRL,Toth Szabolcs,fenyes.com;fenyes.eu
1682,FERMIERUL MURESEAN COOPERATIVA AGRICOLA,,fermierul.ro
1685,FILUX SRL,Fulop Istvan Lorand,filux.ro;filux.com
1689,FLEXI PRO SRL,Coroi Paul Romeo,flexipro.com;flexipro.net
1715,GECODENT SRL,Grama Ovidiu-Cotizo,gecodent.com
1718,GENESIS SRL,,genesis.ro;genesis.com
1721,GEPO GAS SRL,Herepean Cornelia Tamara,gepogas.ro
1738,H METAL SRL,,metal.com;metal.eu
1739,HAPPY FAMILY LIFE SRL,Pastor-Rusu Adriana,happyfamilylife.com;happyfamilylife.net
1740,HAPPY SERV SRL,,happyserv.com
1759,HORN FOREST SRL,Gliga Rodica,hornforest.com
1774,INFMED SRL,Marian Dragos Ioan,infmed.com;infmed.net
1795,IZOPROD M.S. SRL,Pop Carmen Larisa,izoprod.ro
1821,KUKURI SRL,Komes Sandor-Janos,kukuri.net
1822,LA NUOVA SARTORIA SRL,Şoneriu Izabela,lanuovasartoria.com
1832,LION COMPANY SRL,Anghel Ionel,lion-company.com
1836,LOTUS IMPEX SRL,,lotusimpex.com;lotus-impex.com
1842,M CONSULT SRL,,consult.eu;consult.net
1844,MACO CONSTRUCT SRL,Oprea Pavel Cristian,macoconstruct.ro;macoconstruct.com
1848,MAGNETIC POWER SRL,Ilea Richard Virgil,magnetic-power.com
1851,MALU INDUSTRY SRL,Griesser Svetlana,malu-industry.com
1871,MATE CONSTRUCT SRL,,mateconstruct.ro
1896,MILK HUB SRL,,milkhub.com
1902,MNR TRANS SRL,,mnrtrans.ro
1903,MOBCOMAND SRL,Iosif Partenie,mobcomand.ro
1912,MONING SRL,Rudeychuk Oksana,moning.com;moning.eu
1927,MURES SRL,Pop Adrian Dumitru,mures.ro;mures.com
1930,MURICOM SRL,Muresan Marius Lucian,muricom.ro;muricom.com
1956,NOVAMECANICA SRL,,novamecanica.com;novamecanica.net
1968,OMNIEXPRESS SRL,Precup Daniel Miron,omniexpress.ro
1969,OMNIHEALTH SRL,Bordas Liviu,omnihealth.com;omnihealth.eu
1974,ORLANDEA SRL,Orlandea Ioan Daniel,orlandea.com
1996,PETCO SRL,,petco.com;petco.net
2026,PROD COM ELECTRIC SRL,Kibedi Szabolcs,prodcomelectric.ro
2029,PROFESIONAL ROM GUARD SECURITY SRL,Lirca Gabriela Liliana,profesional.ro;profesional.eu
2041,PROMOBDECOR SRL,Moscovici Jean Claude Marian,promobdecor.com
2043,PROTELCON SRL,Bacoș Maria-Felicia,protelcon.com
2060,REHABCARE SRL,Ion Bogdan Cristian,rehabcare.com;rehabcare.eu
2070,RICHIGER SRL,Von Meding Maximilian Andreas Dominik,richiger.ro
2074,ROB CONSTRUCT SRL,Oltean Ioan,robconstruct.com
2076,ROBOTIC MANAGEMENT SRL,Varga Robert Rolland,roboticmanagement.com
2081,ROMETAL DIANIS SRL,Nemes Sorin,rometaldianis.ro
2090,ROXCOM SRL,Cuc Marinel,roxcom.com
2095,RS DIAGNOSTICS SRL,Roşca Ioan,rsdiagnostics.com;rsdiagnostics.net
2100,SAF COM SRL,,safcom.com;safcom.eu
2108,SARON SRL,,saron.eu;saron.net
2132,SMART DELIVERY SERVICES SRL,Pásztor David-Vilmos,smartdeliveryservices.com
2134,SMARTDREAMERS SA,Cernat Adrian Daniel,smartdreamers.ro;smartdreamers.com
2147,STONEFIT SRL,Cornea Adrian-Emanoil,stonefit.com;stonefit.net
2148,STORE RESTAURANTS SRL,,storerestaurants.ro
2149,STR8MINDS SRL,Biro Norbert,str8minds.com
2164,SZABO CONSULTING SRL,Szabo Csaba Ivan,szaboconsulting.com;szaboconsulting.net
2166,TALENT STORE SRL,Fusu Calin,talentstore.com;talent-store.com
2180,THE GREATEST TOURS SRL,Nagy Szendike,thegreatesttours.com
2183,TIBERIU GLAS SRL,Paizs Tibor,tiberiuglas.ro
2185,TIGER SECURITY SRL,Costea Mariana-Narcisa,tigersecurity.eu
2214,TRANS COM HE SRL,Hărţagan Emil-Aurelian,transcomhe.com
2218,TRANSFOR SRL,Calcan Daniela,transfor.com;transfor.eu
2221,TRAVEL SRL,,travel.ro;travel.com
2225,TUBSYSTEM SRL,Kiss Istvan,tubsystem.ro;tubsystem.com
2229,TUTTO ABC SRL,Popa Marius-Ilie,tuttoabc.com
2237,VALEA IZVOARELOR SENIOR LIVING SRL,Sarchiz Călin,valea.ro;valea.com
2259,VIRTUAL REALITY ZONE SRL,Gogolak Hrubecz Margit,virtualrealityzone.com;virtualrealityzone.net
2260,VITAFARM SRL,,vitafarm.ro;vitafarm.com
2276,WIJNEN SRL,Wijnen Jan Cornelis,wijnen.com;wijnen.eu
2289,ADRIDAN SRL,Mihut Gheorghe,adridan.com
2291,ALTEX LOGISTIC & DISTRIBUTION SRL,Craciun Dan Ion,altex.ro;altex.com
2292,AMCOR FLEXIBLES PIATRA NEAMT SRL,Tofan Gabriel,amcor.ro;amcor.com
2293,ARCELORMITTAL TUBULAR PRODUCTS ROMAN SA,Mihaila Geanina,arcelormittal.com
2294,AUGSBURG SRL,Matasa Lucia,augsburg.ro;augsburg.com
2297,BICO INDUSTRIES SA,Bindea Ioan Adrian,bicoindustries.ro;bicoindustries.com
2302,COMPANIA JUDETEANA APA SERV SA,Dominte Mihai,compania.ro
2306,DOLINEX SRL,Capitanu Dorin Nicolae,dolinex.ro;dolinex.com
2307,ETURIA SRL,Soria Advisors Srl,eturia.ro;eturia.com
2308,FARMACIA ARDEALUL SRL,Echim George Mihail,farmaciaardealul.ro
2309,G & T TRANS SRL,Nour Constantin,trans.ro;trans.com
2311,KOBER SRL,Kober Aurel Vasile,kober.ro;kober.com
2312,LANDSTAR CAPITAL SRL,Nemerenco Anatolie,landstarcapital.com
2313,LOGITRANS SRL,Costache Andreea Cristiana,logitrans.ro;logitrans.com
2319,MOLDOCOR SA,Batranu Mihai,moldocor.ro
2320,ODLO ROMANIA SRL,Mulvie Daniel Richard,odloromania.ro
2321,ONLINESHOP SRL,Ionascu Strungariu Silviu,onlineshop.ro;onlineshop.eu
2322,PETROUZINEX SRL,Agavriloae Dorin,petrouzinex.ro;petrouzinex.com
2326,SUINPROD SA,Antoci Ioan,suinprod.ro
2327,TERMOPLAST SRL,Neculai Catalin,termoplast.ro;termoplast.com
2328,TRUST EURO THERM SRL,Anicai Gabriel Mihai,trusteurotherm.ro
2334,YARNEA SRL,Strambu Capitanu Ana Clarisa,yarnea.ro
2337,MINCO IMPEX SRL,Theocharis Nikolaos,mincoimpex.ro
2340,ACET SA,Groza Stefan,acet.com;acet.eu
2342,ALBERTEMMA SRL,Wendling Adela Olga,albertemma.ro
2346,AMBRO SA,Barral Laurent,ambro.ro;ambro.com
2349,ASSIST SOFTWARE SRL,Tanase Daniel,assist-software.ro;assist-software.com
2350,AUTOSERVICE SRL,Mitric Stefan Dinu,autoservice.com
2351,BIOENERGY SUCEAVA SA,Sorin Alexandru Buculei,bioenergysuceava.ro
2352,BIOMEDICA SRL,Ili Vasile Cristinel,biomedica.ro;biomedica.com
2354,CARPATHIAN SPRINGS SA,Valvis Jean,carpathian-springs.com
2360,DENIS SHOES SRL,Cornea Ana,denisshoes.com
2362,ECUATOR SRL,Croitor Viorica,ecuator.ro;ecuator.com
2368,EUROSPEED SRL,Paval Dan,eurospeed.ro
2372,GLOBAL DESIGN SRL,Croitoriu Marinela Lacramioara,globaldesign.ro;globaldesign.com
2377,KALMAN DISTRIBUTION SRL,Ionescu Gabriela Sara,kalmandistribution.com
2384,MAR MOB SRL,Mihalescu Ionel Dorel,marmob.ro
2388,MIND GAMES SRL,Cretu Bogdan Constantin,mindgames.ro;mindgames.eu
2392,PHARMAPLUS SRL,Slutu Eugen,pharmaplus.ro;pharmaplus.eu
2398,RADBURG SOFT SRL,Hintari Mircea,radburgsoft.ro
2399,RAITAR SRL,Florea Grigore,raitar.ro;raitar.com
2400,RARAUL SA,Sperloiu Sorin Gabriel,raraul.ro
2402,ROMOLDOVA SRL,Spita Ion,romoldova.com
2405,SAVCOM SRL,Savu Daniel Ilie,savcom.ro;savcom.com
2406,SET CORPORATION SRL,Tataringa Sebastian,setcorporation.com
2407,SIDEM SRL,Verfaillie Gwen Veerie,sidem.ro;sidem.com
2414,TERMOHABITAT SRL,Dascalu Augustin Marius,termohabitat.ro
2417,TRUTZI SRL,Nutu Petru Ciprian,trutzi.ro;trutzi.com
2418,TUDIA SRL,Burac Sebastian Florin,tudia.com
2419,VALVIS HOLDING DISTRIBUTION SA,Vilcu Elena Roxana,valvis.net
2420,WOOD CHIPPER SRL,Gherman Stefan,woodchipper.com;woodchipper.net
2424,AQUAVAS SA,Tibulca Ioan,aquavas.ro;aquavas.com
2426,BERLIN SRL,Pricope Florin,berlin.ro;berlin.com
2429,CRISMIH SRL,Mihaila Cristinel,crismih.ro
2432,GARTEK SRL,Codreanu Simona,gartek.com
2436,LANDCOM SRL,Nechifor Constantin,landcom.eu
2443,RULMENTI SA,Paduraru Nicusor,rulmenti.ro;rulmenti.com
2445,SAGEM SRL,Safir George,sagem.com;sagem.eu
2447,TEGROSTAR SRL,Timofte Marius Ionut,tegrostar.ro;tegrostar.com
2448,TRANSMIR SRL,Savin Simona Ionela,transmir.ro
2450,VASCAR SA,Ciuburciu Vlad Alexandru,vascar.ro;vascar.com
2451,VIACONS RUTIER SRL,Ciomaga Ioan,viaconsrutier.com
2454,ANNABELLA SRL,Mutu Dorina,annabella.ro;annabella.com
2455,ARTIFEX SRL,Raileanu Mariana Lorela,artifex.com;artifex.eu
2456,AURORA COM SRL,Bordea Vasile,auroracom.com;auroracom.net
2459,AVIPUTNA SRL,Balaban Aurelia,aviputna.ro
2461,BECIUL DOMNESC SA,Rizea Florin,beciuldomnesc.ro
2463,COMPANIA DE UTILITATI PUBLICE SA,Vulpe Gheorghe Lucian,compania.ro;compania.net
2468,DEGARO SRL,Lars Vesten Drescher,degaro.com
2471,ECO X SA,Antonello Algeri,eco.com;eco.eu
2473,ELECTRIC SRL,Buzaianu Tonel Nicu,electric.net
2478,P.I.F & L.M.S COMPANY SRL,Paltinus Florin,company.ro;company.eu
2483,POLICALITA SRL,,policalita.ro
2488,SIMIZ FASHION SRL,Simiz Silviu,simizfashion.ro
2490,TEXDATA SRL,Solomon Liviu Corneliu,texdata.ro;texdata.com
