id_firma,firma,persoana,candidati_mx
263,DANTE INTERNATIONAL,Stejara Pircan,danteinternational.com
264,DASEIN,,dasein.ro;dasein.com
265,DC COMMUNICATIONS,Teodor Victor Frolu,dccommunications.com;dc-communications.com
275,HOGARTH & OGILVY,Manuela Nicula,hogarth-ogilvy.com
282,HUSQVARNA,Stefan Tint,husqvarna.ro;husqvarna.com
285,IL MAESTRO SRL,Tsiokos Tsimpidas Vasileios,ilmaestro.ro;ilmaestro.com
292,INTERAGRO SA,Cadar Marcel Gicu,interagro.ro;interagro.com
295,ISOVOLTA SA,Katja Sieghart,isovolta.ro;isovolta.com
297,IVANTI SOFTWARE ENGINEERING,Alina Sandru,ivanti.com;ivantisoftware.com
298,IVATHERM SA,Rucsandra Hurezeanu,ivatherm.ro;ivatherm.com
299,IVCON SRL,Ivan Gheorghe,ivcon.com;ivcon.eu
300,JANSSEN ROMANIA,Sevan Kaloustian,janssen-romania.com
301,JAZZ COMMUNICATION SRL,Cristian Diana Elena,jazz-communication.com
302,JONES LANG LASALLE SERVICES SRL,Silviana Petre,jones.com
303,JT INTERNATIONAL MANUFACTURING SA,Yevgeniy Nikolskiy,jtinternational.com;jtinternational.eu
310,KIA ROMAUTO SRL,Dan Chitaru,kiaromauto.ro
313,KINSTELLAR,Mihai Coada,kinstellar.com;kinstellar.eu
316,KNAUF INSULATION,Tihomir Civkaroski,knaufinsulation.com;knaufinsulation.net
319,KUBIS INTERACTIVE,Vlad Popovici,kubisinteractive.ro;kubisinteractive.com
321,LEROY MERLIN,Director General,leroymerlin.ro;leroymerlin.com
324,LION COMMUNICATION SERVICES,Stefan Iordache,lion.ro;lion.com
325,LUBEXPERT,Constantin Pasoi,lubexpert.ro;lubexpert.com
326,LUFTHANSA,,lufthansa.ro;lufthansa.com
327,LUKOIL ROMANIA SRL,Victor Jumbei,lukoilromania.ro
330,M CAR TRADING SRL,Grigore Irina,cartrading.eu;cartrading.net
332,MANPOWER ROMANIA SRL,Octavian Stanciu,manpowerromania.com
334,MCCANN PROFESIONAL COMMUNICATION,Imola Marta Zoltan,mccann.ro;mccann.com
336,MED SERV UNITED SRL,Oprea Cornel Marius,medservunited.ro
339,MEDIA INVESTMENT,Dan Balotescu,mediainvestment.ro;mediainvestment.com
353,OPTIM PM,,optimpm.com;optimpm.eu
355,OPTIMUM MEDIA DIRECTION PLAN & BUY,Liana Luiza Mihai,optimum.ro;optimum.com
363,OXYGEN,Andreea Filip,oxygen.ro;oxygen.com
366,P.A.R. POLYMERS SRL,Pokas Theodoros,polymers.eu;polymers.net
368,PALMED,,palmed.ro;palmed.com
372,PARFUMERIE DOUGLAS SRL,Lavinia Ivas,parfumeriedouglas.ro;parfumeriedouglas.com
373,PASION SERVICE SRL,Ionescu Cornelia-Adriana,pasionservice.ro;pasionservice.com
376,PAYPOINT SERVICES SRL,Dogariu Mugurel,paypointservices.ro;paypointservices.com
381,PEGASUS ENGINEERING SRL,Bogdan Stancu,pegasusengineering.net
385,PERNOD RICARD,Gen. Tudor Furir,pernodricard.eu;pernod-ricard.ro
392,PLENERG SRL,Athanasios Efthymiopoulos,plenerg.ro
394,POPP & ASOCIATII INGINERIE GEOTEHNICA,Dragos Andrei - Marcu,popp.ro;popp.com
402,PPG ROMANIA,Gabriel Valentin Enache,ppgromania.ro
405,PRIAEVENTS,Raluca Voivozeanu,priaevents.ro;priaevents.com
408,PRIMO PROD SRL,Trifu Monica Madalina,primoprod.ro;primoprod.com
415,PROCESS SOLUTIONS,Gabor Ferenc,processsolutions.com;processsolutions.eu
417,PROCTER & GAMBLE DISTRIBUTION SRL,Antoine Brun,procter.com;procter.eu
420,PROGRAPHIC ARHITECTURE STUDIO,Stefan Alberto Bianco,prographic.ro;prographic.com
422,PROPAGANDA CREATIVE SERVICES,Tuluca Adrian,propaganda.ro;propaganda.com
423,PROPAGANDA MARKETING RESOURCE,Nicolae Adrian Tuluca,propaganda.ro;propaganda.com
426,PRUTUL SA,Marian Andreev,prutul.ro;prutul.com
427,PUBLICIS GROUPE MEDIA BUCHAREST,Stefan Iordache,publicis.ro;publicis.com
430,PWC ROMANIA,Diana Coroaba,pwcromania.com
432,Q MAX BUSINESS CONSULTING SRL,Niculescu Petruţ   George,maxbusinessconsulting.com
434,QUADRANT AMROQ BEVERAGES SR QUADRANT,Dragusin Daniel,quadrant.com;quadrant.net
437,RABBIT MEDIA SRL,Nicoleta Galatanu,rabbitmedia.net
438,RADACINI MOTORS SRL,Madadi Ali,radacinimotors.ro
440,RAIFFEISEN BROKER ASIGURARE,Angelina Enache,raiffeisen.ro;raiffeisen.com
441,RAN EVENTS,,ranevents.ro;ranevents.eu
444,RASIROM,Laurentiu Trocan,rasirom.ro
445,RCS & RDS SA,Serghei Bulgac,rcsrds.ro;rcs-rds.ro
446,REAL - SOL,Shimon Galon,realsol.com;realsol.eu
448,RECKITT BENCKISER SRL,Tisaianu Roxana,reckittbenckiser.com;reckittbenckiser.net
451,REGINA MARIA (CENTRU MEDICAL UNIREA),Hadi Rahimian,regina.eu;reginamaria.ro
460,ROFMA,Cristian Vasiliu,rofma.ro
461,ROGALSKI DAMASCHIN PUBLIC RELATIONS,Mihnea Pana,rogalski.ro;rogalski.com
464,ROMANIA GREEN BUILDING COUNCIL,Andrei Botis,romaniagreen.com
468,ROMEPS,Mihail-Catalin Stefan,romeps.ro
474,ROMTEHNICA,Director General Nicolae Nasta,romtehnica.ro;romtehnica.com
475,ROSIA MONTANA GOLD CORPORATION,Dragos Tanase,rosia.eu;rosiamontana.ro
476,ROTARY CONSTRUCTII,Mihai Leonard Rotaru,rotaryconstructii.ro
477,ROVERE MOBILI,Ariana Badin,roveremobili.ro;roveremobili.com
479,ROWE ROMANIA SALES AND DISTRIBUTION SRL,Constantin Liviu Danila,rowe.ro;rowe.com
486,SAMCO SA,Tudosie Mihail,samco.ro;samco.com
491,SAP ROMANIA,Cristian Popescu,sapromania.com
495,SCANDINAVIAN DESIGN HOUSE ROMANIA,Diana-Maria Staicu,scandinavian.eu;scandinaviandesign.com
